Номер заказа;Номер отправления;Дата отгрузки;Сумма отправления;OZON id;Ваша цена;Оплачено покупателем;Цена товара до скидок;Скидка %;Скидка руб
92067318-0017;92067318-0017-1;17.02.2025 13:00;18800.00;1606602149;18800.00;14060.00;26330.00;29%;7530.00
18663667-0214;18663667-0214-1;17.02.2025 13:00;5374.00;1232919540;5374.00;4204.00;7998.00;33%;2624.00
0161645882-0089;0161645882-0089-1;17.02.2025 13:00;5413.00;1147625400;5413.00;4260.00;8300.00;35%;2887.00
0126116096-0087;0126116096-0087-1;16.02.2025 13:00;32500.00;985384136;32500.00;25108.00;48727.00;33%;16227.00
93863282-0080;93863282-0080-7;16.02.2025 13:00;14000.00;1007969678;14000.00;11631.00;20774.00;33%;6774.00
65287772-0144;65287772-0144-1;16.02.2025 13:00;17100.00;1083302078;17100.00;12772.00;24963.00;32%;7863.00
0136681512-0072;0136681512-0072-1;15.02.2025 13:00;19372.00;985165859;19372.00;15013.00;27330.00;29%;7958.00
88677237-0141;88677237-0141-1;15.02.2025 13:00;6048.00;1233015711;6048.00;4740.00;8756.00;31%;2708.00
0119418902-0102;0119418902-0102-1;15.02.2025 13:00;15500.00;1351965762;15500.00;11577.00;20600.00;25%;5100.00
43377284-0228;43377284-0228-1;15.02.2025 13:00;6048.00;1233015711;6048.00;4740.00;8756.00;31%;2708.00
23951496-0079;23951496-0079-1;15.02.2025 13:00;12869.00;965922030;12869.00;9948.00;17465.00;26%;4596.00
88074382-0365;88074382-0365-1;15.02.2025 13:00;5612.00;1720555710;5612.00;4369.00;8600.00;35%;2988.00
58563942-0155;58563942-0155-1;14.02.2025 13:00;5697.00;1147625400;5697.00;4744.00;8584.00;34%;2887.00
0163645582-0014;0163645582-0014-1;14.02.2025 13:00;6048.00;1233015711;6048.00;4539.00;8756.00;31%;2708.00
0158719427-0088;0158719427-0088-1;14.02.2025 13:00;5612.00;1720555710;5612.00;4673.00;8600.00;35%;2988.00
0182465170-0003;0182465170-0003-6;14.02.2025 13:00;18800.00;1606602149;18800.00;14652.00;26330.00;29%;7530.00
61887818-0013;61887818-0013-1;14.02.2025 13:00;5697.00;1147625400;5697.00;4479.00;8584.00;34%;2887.00
0146024906-0069;0146024906-0069-2;13.02.2025 13:00;5512.00;1232870909;5512.00;4333.00;7998.00;31%;2486.00
0175609380-0036;0175609380-0036-1;13.02.2025 13:00;15500.00;1351965762;15500.00;11718.00;20600.00;25%;5100.00
94255575-0036;94255575-0036-1;13.02.2025 13:00;5374.00;1232919540;5374.00;4225.00;7998.00;33%;2624.00
56036751-0046;56036751-0046-1;13.02.2025 13:00;14073.00;1351965762;14073.00;10244.00;19173.00;27%;5100.00
80617184-0075;80617184-0075-1;13.02.2025 13:00;5512.00;1090789726;5512.00;4341.00;7998.00;31%;2486.00
81141076-0281;81141076-0281-1;13.02.2025 13:00;14184.00;985189781;14184.00;11149.00;22591.00;37%;8407.00
77184800-0115;77184800-0115-1;13.02.2025 13:00;19372.00;985165859;19372.00;15152.00;27330.00;29%;7958.00
0110494480-0123;0110494480-0123-1;13.02.2025 13:00;13541.00;1266364538;13541.00;10385.00;22414.00;40%;8873.00
0149988569-0018;0149988569-0018-1;12.02.2025 13:00;14184.00;985189781;14184.00;10421.00;22591.00;37%;8407.00
61386488-0027;61386488-0027-2;12.02.2025 13:00;13641.00;1064989520;13641.00;10722.00;17106.00;20%;3465.00
70471301-0044;70471301-0044-1;12.02.2025 13:00;14184.00;985189781;14184.00;10819.00;22591.00;37%;8407.00
82297287-0036;82297287-0036-1;12.02.2025 13:00;30666.00;985312532;30666.00;24059.00;48500.00;37%;17834.00
