date,sku,shipped_qty,promo_rub,order_value_rub_sum,shipments,returns_qty,returns_rub
2025-02-02,985189781,2,74.0,28368.0,2,0,0.0
2025-02-02,999667986,1,38.0,13823.0,1,0,0.0
2025-02-03,1064626945,1,29.0,12326.0,1,0,0.0
2025-02-03,1147625400,1,34.0,5669.0,1,0,0.0
2025-02-03,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-03,1255409796,1,27.0,6426.0,1,0,0.0
2025-02-03,1577323801,0,0.0,0.0,0,1,12168.0
2025-02-03,1619227946,1,45.0,36472.0,1,0,0.0
2025-02-03,985165859,2,58.0,38744.0,2,0,0.0
2025-02-03,985312532,1,25.0,36416.0,1,0,0.0
2025-02-04,1007969678,0,0.0,0.0,0,1,12330.0
2025-02-04,1083286259,0,0.0,0.0,0,1,11340.0
2025-02-04,1147625400,1,34.0,5697.0,1,0,0.0
2025-02-04,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-04,1255409796,1,27.0,6426.0,1,0,0.0
2025-02-04,1577323801,0,0.0,0.0,0,1,11958.0
2025-02-04,985032210,1,28.0,18616.0,1,0,0.0
2025-02-04,985312532,0,0.0,0.0,0,1,36416.0
2025-02-05,1087599272,0,0.0,0.0,0,1,8756.0
2025-02-05,1232870909,1,31.0,5512.0,1,0,0.0
2025-02-05,1233015711,1,31.0,5948.0,1,0,0.0
2025-02-05,955086816,1,27.0,18711.0,1,0,0.0
2025-02-05,965922030,0,0.0,0.0,0,1,16592.0
2025-02-05,985189781,2,74.0,28368.0,2,0,0.0
2025-02-06,1079018891,2,72.0,22272.0,2,0,0.0
2025-02-06,1083302078,2,64.0,33569.0,2,0,0.0
2025-02-06,1090789726,1,31.0,5512.0,1,0,0.0
2025-02-06,1233015711,1,31.0,6048.0,1,0,0.0
2025-02-06,1325921922,1,26.0,20131.0,1,0,0.0
2025-02-06,1338292056,0,0.0,0.0,0,1,24000.0
2025-02-06,1577323801,1,30.0,12168.0,1,0,0.0
2025-02-06,967621232,2,42.0,68000.0,2,0,0.0
2025-02-06,984997674,1,26.0,18189.0,1,0,0.0
2025-02-06,986670006,1,32.0,37905.0,1,0,0.0
2025-02-07,1079018891,1,36.0,11136.0,1,0,0.0
2025-02-07,1091369491,0,0.0,0.0,0,1,8177.0
2025-02-07,1233015711,1,31.0,6048.0,1,0,0.0
2025-02-07,985189781,1,37.0,14184.0,1,0,0.0
2025-02-08,1064626945,1,29.0,12326.0,1,0,0.0
2025-02-08,1078876750,1,28.0,15000.0,1,0,0.0
2025-02-08,1083302078,1,32.0,17100.0,1,0,0.0
2025-02-08,1720555710,1,35.0,5612.0,1,0,0.0
2025-02-08,985189781,2,74.0,28368.0,2,0,0.0
2025-02-08,985312532,1,37.0,30666.0,1,0,0.0
2025-02-09,1079018891,1,36.0,11136.0,1,0,0.0
2025-02-09,1325921922,1,5.0,25707.0,1,0,0.0
2025-02-09,1338292056,0,0.0,0.0,0,1,21227.0
2025-02-09,1442316061,1,34.0,11919.0,1,0,0.0
2025-02-09,955086816,1,27.0,18711.0,1,0,0.0
2025-02-09,965922030,1,25.0,13020.0,1,0,0.0
2025-02-10,1064626945,2,59.0,24036.0,2,1,12326.0
2025-02-10,1079018891,2,72.0,22272.0,2,0,0.0
2025-02-10,1091369491,1,25.0,6142.0,1,0,0.0
2025-02-10,1232919540,1,34.0,5106.0,1,0,0.0
2025-02-10,1577323801,1,30.0,12168.0,1,0,0.0
2025-02-10,955086816,1,27.0,18711.0,1,0,0.0
2025-02-10,985189781,1,37.0,14184.0,1,0,0.0
2025-02-11,1078999549,1,28.0,14503.0,1,0,0.0
2025-02-11,1232870909,0,0.0,0.0,0,1,4847.0
2025-02-11,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-11,1255409796,0,0.0,0.0,0,1,6120.0
2025-02-11,1266364538,1,40.0,13179.0,1,0,0.0
2025-02-11,1338292056,0,0.0,0.0,0,1,20733.0
2025-02-11,1720555710,1,35.0,5612.0,1,0,0.0
2025-02-11,985032210,1,29.0,18248.0,1,0,0.0
2025-02-11,985165859,1,29.0,19372.0,1,0,0.0
2025-02-11,985312532,1,37.0,30666.0,1,0,0.0
2025-02-11,986693525,1,27.0,37000.0,1,0,0.0
2025-02-12,1064989520,1,20.0,13641.0,1,0,0.0
2025-02-12,1079018891,1,36.0,11136.0,1,0,0.0
2025-02-12,1091369491,0,0.0,0.0,0,1,5369.0
2025-02-12,1266364538,0,0.0,0.0,0,1,13541.0
2025-02-12,985189781,2,74.0,28368.0,2,0,0.0
2025-02-12,985312532,1,37.0,30666.0,1,0,0.0
2025-02-13,1090789726,1,31.0,5512.0,1,0,0.0
2025-02-13,1159876183,0,0.0,0.0,0,1,6615.0
2025-02-13,1232870909,1,31.0,5512.0,1,0,0.0
2025-02-13,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-13,1266364538,1,40.0,13541.0,1,0,0.0
2025-02-13,1351965762,2,52.0,29573.0,2,0,0.0
2025-02-13,955086816,0,0.0,0.0,0,1,18711.0
2025-02-13,985165859,1,29.0,19372.0,1,1,19372.0
2025-02-13,985189781,1,37.0,14184.0,1,0,0.0
2025-02-13,986670006,0,0.0,0.0,0,1,37905.0
2025-02-14,1007969678,0,0.0,0.0,0,1,13700.0
2025-02-14,1083286259,0,0.0,0.0,0,1,11240.0
2025-02-14,1090789726,0,0.0,0.0,0,1,5512.0
2025-02-14,1147625400,2,68.0,11394.0,2,0,0.0
2025-02-14,1233015711,1,31.0,6048.0,1,0,0.0
2025-02-14,1606602149,1,29.0,18800.0,1,0,0.0
2025-02-14,1720555710,1,35.0,5612.0,1,0,0.0
2025-02-14,967621232,0,0.0,0.0,0,1,34000.0
2025-02-14,985165859,0,0.0,0.0,0,1,19372.0
2025-02-15,1090789726,0,0.0,0.0,0,1,6300.0
2025-02-15,1159876183,0,0.0,0.0,0,1,6615.0
2025-02-15,1233015711,2,62.0,12096.0,2,0,0.0
2025-02-15,1351965762,1,25.0,15500.0,1,0,0.0
2025-02-15,1720555710,1,35.0,5612.0,1,0,0.0
2025-02-15,965922030,1,26.0,12869.0,1,0,0.0
2025-02-15,985165859,1,29.0,19372.0,1,0,0.0
2025-02-16,1007969678,1,33.0,14000.0,1,0,0.0
2025-02-16,1083302078,1,32.0,17100.0,1,0,0.0
2025-02-16,1577323801,0,0.0,0.0,0,1,12168.0
2025-02-16,985384136,1,33.0,32500.0,1,0,0.0
2025-02-17,1079018891,1,26.0,12900.0,1,0,0.0
2025-02-17,1083286259,0,0.0,0.0,0,1,11340.0
2025-02-17,1147625400,1,35.0,5413.0,1,0,0.0
2025-02-17,1232919540,3,99.0,16122.0,3,0,0.0
2025-02-17,1351965762,1,25.0,15500.0,1,0,0.0
2025-02-17,1606602149,1,29.0,18800.0,1,0,0.0
2025-02-18,1078977856,1,33.0,14000.0,1,0,0.0
2025-02-18,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-18,985122721,0,0.0,0.0,0,1,20128.0
2025-02-19,1083286259,0,0.0,0.0,0,1,11340.0
2025-02-19,1359397672,1,16.0,7000.0,1,0,0.0
2025-02-19,1619227946,1,45.0,36472.0,1,0,0.0
2025-02-19,1720555710,2,70.0,11224.0,2,0,0.0
2025-02-19,955086816,2,52.0,38000.0,2,0,0.0
2025-02-19,985122721,1,21.0,20028.0,1,0,0.0
2025-02-19,986693525,1,27.0,36652.0,1,0,0.0
2025-02-19,999667986,1,43.0,12804.0,1,0,0.0
2025-02-20,985189781,0,0.0,0.0,0,1,14184.0
2025-02-21,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-21,1359397672,0,0.0,0.0,0,1,7000.0
2025-02-21,1418098260,1,35.0,26440.0,1,0,0.0
2025-02-21,985122721,0,0.0,0.0,0,1,20028.0
2025-02-21,985165859,1,30.0,18404.0,1,0,0.0
2025-02-22,1007969678,1,33.0,14000.0,1,0,0.0
2025-02-22,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-22,1255409796,1,5.0,8319.0,1,0,0.0
2025-02-22,1363993554,1,5.0,9196.0,1,0,0.0
2025-02-22,1606602149,1,29.0,18800.0,1,0,0.0
2025-02-22,985032210,1,29.0,18248.0,1,0,0.0
2025-02-22,985165859,1,29.0,19372.0,1,0,0.0
2025-02-22,985189781,0,0.0,0.0,0,1,16800.0
2025-02-23,1083286259,0,0.0,0.0,0,1,11340.0
2025-02-23,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-23,1233002951,1,31.0,6048.0,1,0,0.0
2025-02-23,1388975716,1,33.0,7495.0,1,0,0.0
2025-02-23,985165859,0,0.0,0.0,0,1,19372.0
2025-02-24,1007969678,1,33.0,14000.0,1,0,0.0
2025-02-24,1090789726,0,0.0,0.0,0,1,5512.0
2025-02-24,1232919540,2,66.0,10748.0,2,0,0.0
2025-02-24,1338292056,0,0.0,0.0,0,1,20833.0
2025-02-24,1351965762,1,25.0,15500.0,1,0,0.0
2025-02-24,985032210,1,29.0,18248.0,1,0,0.0
2025-02-24,985165859,1,29.0,19372.0,1,0,0.0
2025-02-25,1232919540,1,33.0,5374.0,1,0,0.0
2025-02-25,1233015711,2,62.0,12096.0,2,0,0.0
2025-02-25,1266364538,2,80.0,27082.0,2,0,0.0
2025-02-25,985122721,1,21.0,20128.0,1,0,0.0
2025-02-25,999667986,1,43.0,12804.0,1,0,0.0
2025-02-26,1064626945,1,29.0,12326.0,1,0,0.0
2025-02-26,1079018891,0,0.0,0.0,0,1,11136.0
2025-02-26,1232870909,1,31.0,5512.0,1,0,0.0
2025-02-26,1232919540,2,70.0,10425.0,2,1,5374.0
2025-02-26,1359397672,0,0.0,0.0,0,1,7000.0
2025-02-26,1577323801,0,0.0,0.0,0,1,12168.0
2025-02-26,1606602149,1,29.0,18800.0,1,0,0.0
2025-02-26,985122721,2,47.0,38948.0,2,0,0.0
2025-02-27,1233002951,1,31.0,6048.0,1,0,0.0
2025-02-27,1359397672,1,16.0,7000.0,1,0,0.0
2025-02-27,1606602149,1,29.0,18800.0,1,0,0.0
2025-02-27,1824444471,1,35.0,8000.0,1,0,0.0
2025-02-27,955086816,1,22.0,20000.0,1,0,0.0
2025-02-27,985165859,1,23.0,21000.0,1,0,0.0
2025-02-27,999667986,1,43.0,12804.0,1,0,0.0
2025-02-28,1606602149,1,29.0,18800.0,1,0,0.0
2025-02-28,985032210,2,49.0,38311.0,2,0,0.0
2025-03-01,1090644193,1,19.0,6500.0,1,0,0.0
2025-03-01,985165859,0,0.0,0.0,0,1,18626.0
2025-03-01,985189781,1,26.0,16800.0,1,1,16800.0
2025-03-01,999667986,3,129.0,38412.0,3,0,0.0
2025-03-02,1079018891,1,20.0,14000.0,1,0,0.0
2025-03-02,1266364538,1,40.0,13541.0,1,0,0.0
2025-03-03,985189781,1,26.0,16800.0,1,0,0.0
2025-03-04,1147625400,1,34.0,5697.0,1,0,0.0
2025-03-04,1606602149,0,0.0,0.0,0,1,18800.0
2025-03-04,985165859,0,0.0,0.0,0,1,19372.0
2025-03-04,985189781,2,52.0,33600.0,2,0,0.0
2025-03-04,985312532,0,0.0,0.0,0,1,40000.0
2025-03-05,1232993847,1,20.0,6600.0,1,0,0.0
2025-03-05,1606602149,1,24.0,19900.0,1,0,0.0
2025-03-05,1619464475,1,28.0,47000.0,1,0,0.0
2025-03-05,985186122,1,23.0,20230.0,1,0,0.0
2025-03-06,1078999549,1,33.0,14000.0,1,0,0.0
2025-03-06,1079018891,1,27.0,16500.0,1,0,0.0
2025-03-06,967621232,0,0.0,0.0,0,1,34000.0
2025-03-06,985122721,1,22.0,19024.0,1,1,18820.0
2025-03-06,985165859,0,0.0,0.0,0,1,21300.0
2025-03-07,1233012563,1,31.0,6048.0,1,0,0.0
2025-03-08,1351965762,1,22.0,16099.0,1,0,0.0
2025-03-08,1363993554,1,5.0,9196.0,1,0,0.0
2025-03-08,1824444471,1,33.0,8269.0,1,0,0.0
2025-03-08,955086816,1,21.0,20400.0,1,0,0.0
2025-03-08,967621232,0,0.0,0.0,0,1,34000.0
2025-03-08,985165859,1,22.0,21300.0,1,0,0.0
2025-03-09,1233012563,1,31.0,6048.0,1,0,0.0
2025-03-09,985165859,0,0.0,0.0,0,1,19372.0
2025-03-10,1083302078,1,14.0,21500.0,1,0,0.0
2025-03-10,1388975716,1,31.0,8233.0,1,0,0.0
2025-03-10,955086816,1,56.0,20400.0,1,1,20000.0
2025-03-11,1338292056,1,40.0,26300.0,1,0,0.0
2025-03-11,1606602149,1,55.0,19900.0,1,0,0.0
2025-03-11,1720555710,1,54.0,7000.0,1,0,0.0
2025-03-11,985165859,0,0.0,0.0,0,1,21300.0
2025-03-12,1232919540,1,14.0,6850.0,1,0,0.0
2025-03-12,1233015711,0,0.0,0.0,0,1,6048.0
2025-03-12,985165859,2,115.0,39509.0,2,0,0.0
2025-03-12,986666355,1,37.0,42842.0,1,0,0.0
